                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7638,                  1.251,                 1.6108,                0.85486,                0.81259,                0.87702,                0.43058,                 1.6627,                  1.028,                 1.5288,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7246,                 1.2125,                 1.5347,                0.87265,                0.80772,                0.89604,                 0.4445,                 1.6583,                 1.0168,                 1.5376,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7295,                 1.1867,                  1.568,                0.87922,                  0.824,                0.90852,                 0.4647,                 1.6126,                0.95763,                 1.5107,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7641,                  1.229,                  1.597,                0.85432,                0.78097,                0.86611,                 0.4204,                 1.6938,                 1.0379,                 1.5476,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7419,                 1.2571,                 1.5772,                 0.8388,                0.80078,                0.88314,                0.44162,                 1.6219,                  1.039,                 1.5287,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7412,                 1.2072,                  1.552,                0.85178,                 0.7933,                0.88393,                0.44148,                 1.5754,                 1.0378,                 1.5044,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7311,                 1.1864,                 1.5552,                0.84049,                0.77797,                0.87162,                0.42272,                 1.6445,                 1.0383,                  1.526,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.705,                 1.1881,                 1.5532,                0.83204,                0.80337,                0.88232,                0.44952,                 1.5804,                 1.0981,                 1.4842,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.7197,                 1.1792,                 1.5671,                0.88069,                0.83784,                0.91064,                0.46149,                 1.5816,                0.95426,                  1.484,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7068,                 1.1305,                 1.5445,                0.87788,                 0.8378,                0.90515,                0.45906,                 1.6002,                0.96992,                 1.5082,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.7243,                 1.1713,                 1.5624,                0.86307,                0.80519,                0.89466,                0.45728,                 1.6092,                0.98031,                  1.505,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.6866,                 1.1326,                 1.5298,                0.87006,                0.79765,                0.89344,                0.45421,                 1.6274,                0.98595,                 1.5146,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.6964,                 1.1176,                 1.5327,                 0.8751,                0.83886,                0.90221,                0.45269,                 1.6142,                0.95636,                 1.4908,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7171,                 1.1403,                 1.5488,                0.87734,                0.85212,                0.91827,                0.45857,                 1.6079,                0.94829,                 1.4739,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6891,                 1.1398,                  1.507,                 0.9038,                0.85499,                0.92239,                0.46554,                 1.6032,                0.91219,                 1.4791,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7215,                 1.1293,                 1.5531,                0.90644,                0.83187,                0.91573,                 0.4702,                 1.5845,                0.92068,                 1.4785,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.7534,                 1.1852,                 1.5695,                0.85123,                0.85016,                 0.9068,                0.46072,                 1.5575,                 1.0843,                 1.4585,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6776,                 1.0969,                 1.5157,                0.88961,                0.84301,                0.90849,                0.48187,                 1.5425,                0.93667,                 1.4409,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.6704,                 1.0759,                 1.5032,                0.90789,                0.85321,                0.92489,                0.48302,                  1.556,                0.88935,                 1.4555,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.6596,                 1.0582,                  1.492,                0.90659,                0.86113,                0.92665,                0.47966,                 1.5493,                  0.915,                  1.458,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6573,                 1.0874,                  1.508,                0.87356,                0.85383,                0.91778,                0.46945,                 1.5442,                0.93856,                 1.4465,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.6649,                 1.0942,                 1.4878,                0.88396,                0.86071,                 0.9234,                 0.4882,                 1.5362,                0.89747,                 1.4374,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6651,                 1.0806,                 1.5109,                0.89644,                0.84034,                 0.9206,                0.49279,                 1.5346,                0.89437,                 1.4356,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.6466,                 1.0663,                 1.4891,                0.89571,                0.85911,                0.92647,                0.50038,                 1.5392,                0.87882,                 1.4406,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6577,                 1.0575,                 1.4716,                0.91264,                0.86863,                0.93193,                0.49249,                 1.5336,                0.86312,                 1.4234,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6416,                 1.0627,                 1.4856,                 0.8611,                0.87874,                0.92486,                0.48255,                 1.5192,                0.88065,                 1.4094,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.6201,                 1.0483,                 1.4691,                0.89454,                0.89305,                0.94347,                0.50821,                 1.5157,                0.85216,                 1.4067,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6579,                 1.0654,                 1.5083,                0.91569,                0.87473,                0.93988,                0.49275,                 1.5195,                0.84689,                  1.429,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.6114,                   1.05,                 1.4819,                0.90191,                0.86965,                0.93523,                0.50226,                  1.526,                0.83673,                 1.4248,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.6247,                 1.0153,                 1.4809,                0.90498,                0.88254,                0.93129,                0.50131,                 1.5107,                0.84164,                    1.4,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.6243,                0.99546,                 1.4696,                0.92396,                0.89521,                0.94923,                0.51403,                 1.5117,                0.81457,                 1.4072,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.6048,                0.99733,                 1.4437,                0.90209,                0.90024,                0.94214,                0.50568,                 1.4968,                 0.8587,                 1.4246,             0.00059429,             0.00059429,             0.00059429
                     67,                   1.64,                 1.0166,                 1.5072,                0.91476,                0.88938,                0.94215,                 0.5023,                 1.5137,                0.82458,                 1.4221,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.6101,                0.99097,                 1.4681,                0.88126,                0.86611,                0.91239,                0.49692,                 1.4987,                0.82395,                 1.3969,             0.00056128,             0.00056128,             0.00056128
