                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4713,                0.82286,                 1.2104,                0.95656,                0.95575,                 0.9754,                0.55724,                 1.4089,                 0.6881,                 1.1765,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4347,                0.77638,                 1.1714,                0.94124,                0.96045,                0.97832,                0.54633,                 1.4593,                0.68613,                 1.1949,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4537,                0.78203,                 1.1876,                0.96311,                0.96435,                0.97859,                0.55566,                  1.412,                0.67193,                 1.1742,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4624,                0.78357,                 1.2023,                0.95501,                0.96414,                0.98098,                0.56467,                 1.3836,                0.65575,                 1.1559,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4248,                0.78872,                 1.1917,                0.94953,                 0.9609,                 0.9795,                0.56511,                 1.3944,                0.66553,                 1.1706,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4558,                0.75992,                 1.1827,                0.94617,                0.96126,                0.97885,                0.56615,                 1.3846,                0.65172,                 1.1587,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4313,                0.76935,                 1.1651,                0.95275,                0.97082,                0.98528,                0.57782,                 1.3692,                0.65463,                 1.1549,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4383,                0.75914,                 1.1725,                0.96064,                0.96367,                0.97941,                0.58652,                 1.3592,                0.63762,                  1.144,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4259,                0.76056,                  1.176,                0.95501,                0.96429,                0.98363,                0.57172,                 1.3932,                0.63782,                 1.1608,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3985,                0.72256,                 1.1662,                0.94371,                0.96881,                0.98246,                 0.5745,                 1.3611,                0.65364,                 1.1451,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4058,                0.74318,                 1.1659,                0.94718,                0.97486,                 0.9829,                0.58007,                 1.3487,                0.63364,                 1.1324,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3832,                0.72204,                 1.1549,                0.97687,                0.97611,                0.98686,                0.58576,                 1.3428,                0.61706,                  1.137,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4045,                0.72503,                   1.16,                0.95823,                0.97094,                0.97969,                0.59274,                 1.3397,                0.62162,                 1.1289,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4197,                0.76677,                 1.1771,                0.96574,                 0.9647,                0.98283,                0.57887,                 1.3306,                0.63347,                 1.1273,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3756,                0.72523,                 1.1482,                0.95931,                0.96579,                0.98282,                0.57411,                 1.3787,                 0.6291,                 1.1471,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4238,                0.75316,                 1.1747,                0.95523,                0.97107,                0.98196,                0.59194,                 1.3391,                 0.6226,                 1.1271,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3859,                0.75172,                 1.1767,                0.96094,                0.97581,                0.98455,                 0.5737,                 1.3177,                0.61384,                 1.1311,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3845,                0.71478,                 1.1407,                0.94881,                0.96989,                 0.9863,                0.59578,                 1.3183,                 0.6085,                 1.1268,             0.00082533,             0.00082533,             0.00082533
