                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5188,                0.85518,                 1.2031,                0.94211,                 0.8935,                0.94119,                0.52425,                 1.4407,                0.72338,                 1.1676,                0.00148,                0.00148,                0.00148
                     36,                 1.5065,                0.82198,                 1.1872,                0.93699,                  0.897,                 0.9316,                0.50248,                 1.4674,                0.73353,                 1.1755,              0.0014745,              0.0014745,              0.0014745
                     37,                  1.489,                0.80995,                 1.2036,                0.93501,                0.90217,                0.93297,                0.51583,                 1.4472,                0.71928,                 1.1812,               0.001469,               0.001469,               0.001469
                     38,                 1.5103,                0.83906,                 1.2014,                0.93713,                0.90646,                0.94718,                0.52612,                 1.4149,                 0.6912,                 1.1595,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.4884,                0.84397,                  1.181,                0.93843,                0.90717,                0.94795,                0.50578,                 1.5132,                0.72371,                 1.1965,               0.001458,               0.001458,               0.001458
                     40,                 1.5081,                0.82437,                 1.1799,                0.93986,                 0.9138,                 0.9455,                0.51989,                 1.4542,                  0.721,                 1.1729,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.5019,                0.82995,                 1.1929,                0.94108,                0.90313,                0.94144,                0.53008,                 1.4363,                0.70383,                 1.1585,               0.001447,               0.001447,               0.001447
                     42,                 1.4735,                0.81806,                 1.1869,                0.93452,                0.91248,                0.94959,                0.53113,                 1.4156,                0.70079,                 1.1498,              0.0014415,              0.0014415,              0.0014415
                     43,                  1.473,                 0.7939,                 1.1772,                0.95471,                0.91543,                0.94969,                0.52656,                 1.4087,                0.69299,                 1.1478,               0.001436,               0.001436,               0.001436
                     44,                 1.4595,                 0.8179,                 1.1666,                0.94626,                0.90133,                0.94314,                 0.5195,                  1.456,                0.70291,                 1.1614,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.4792,                0.81358,                 1.1685,                0.94104,                0.93604,                0.95281,                0.53218,                  1.398,                0.70614,                 1.1527,               0.001425,               0.001425,               0.001425
                     46,                 1.4926,                0.80698,                 1.2016,                0.93989,                0.91139,                 0.9473,                 0.5309,                 1.4293,                0.68773,                 1.1634,              0.0014195,              0.0014195,              0.0014195
                     47,                  1.484,                 0.7941,                 1.1736,                0.94307,                0.92359,                0.94837,                0.53299,                 1.4246,                0.67695,                 1.1461,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.4463,                0.78306,                 1.1647,                0.94242,                0.92832,                0.95615,                0.54219,                 1.3892,                0.67608,                 1.1329,              0.0014084,              0.0014084,              0.0014084
                     49,                  1.461,                0.80286,                 1.1697,                 0.9392,                0.94006,                0.95425,                0.53073,                 1.3765,                 0.6617,                 1.1298,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.4893,                0.80896,                 1.1746,                 0.9581,                0.92337,                0.95461,                0.54611,                 1.3809,                0.67538,                 1.1332,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.4723,                0.79327,                 1.1836,                0.93118,                0.91447,                0.94125,                0.52405,                 1.4388,                0.69933,                 1.1565,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.4499,                0.78518,                  1.164,                0.95947,                 0.9254,                0.95303,                 0.5449,                 1.3775,                0.63909,                 1.1355,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.4632,                0.78147,                 1.1764,                0.94548,                0.89657,                0.93857,                0.54089,                 1.3969,                0.68001,                 1.1429,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.4453,                0.78071,                 1.1551,                0.94902,                 0.9227,                0.95201,                0.54845,                 1.3653,                0.65577,                 1.1368,              0.0013754,              0.0013754,              0.0013754
                     55,                 1.4034,                0.74477,                 1.1331,                0.95597,                0.93177,                0.95893,                0.54549,                 1.3778,                 0.6411,                 1.1374,              0.0013699,              0.0013699,              0.0013699
                     56,                 1.4177,                 0.7425,                 1.1443,                 0.9613,                0.92645,                0.95359,                0.55136,                 1.3559,                0.64252,                  1.127,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.4196,                0.75183,                 1.1696,                0.96266,                0.91611,                0.95339,                0.56273,                 1.3769,                0.62792,                 1.1333,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.4416,                0.78447,                 1.1584,                 0.9495,                0.92175,                0.95226,                0.53724,                  1.352,                0.65568,                  1.129,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.4277,                 0.7592,                 1.1573,                0.94809,                0.92638,                0.95351,                0.55452,                 1.3589,                0.64601,                 1.1218,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.4084,                0.75194,                 1.1602,                0.95858,                0.91844,                 0.9525,                0.55031,                 1.3414,                0.62931,                 1.1225,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.4201,                0.74178,                 1.1602,                0.94751,                0.92114,                0.94971,                0.55408,                 1.3509,                0.63917,                 1.1197,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.4204,                0.73958,                 1.1482,                 0.9476,                0.91927,                 0.9495,                0.54042,                 1.3856,                0.64131,                  1.135,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.3936,                0.73219,                 1.1462,                0.96037,                0.93545,                0.95787,                0.56333,                 1.3586,                0.63615,                 1.1147,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.3876,                0.73822,                 1.1355,                0.94051,                0.92897,                0.95472,                 0.5661,                 1.3372,                0.63123,                 1.1193,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.4169,                0.74153,                 1.1549,                0.96709,                 0.9267,                0.95949,                0.56762,                  1.334,                0.61781,                 1.1189,              0.0013149,              0.0013149,              0.0013149
                     66,                 1.4128,                0.73142,                 1.1499,                0.95943,                0.92394,                0.95805,                0.57243,                 1.3387,                0.62279,                 1.1177,              0.0013094,              0.0013094,              0.0013094
                     67,                 1.4313,                0.75551,                 1.1619,                0.95876,                0.92724,                0.95365,                0.55976,                 1.3364,                 0.6303,                 1.1206,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.3834,                0.71884,                 1.1325,                  0.952,                0.93186,                0.95802,                 0.5723,                 1.3071,                0.62444,                 1.1025,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.4016,                0.70962,                 1.1356,                 0.9742,                0.93163,                 0.9621,                 0.5691,                 1.3114,                0.60844,                 1.1071,              0.0012929,              0.0012929,              0.0012929
                     70,                 1.4123,                0.72832,                 1.1485,                 0.9497,                0.91852,                0.94989,                0.53149,                 1.3979,                0.64462,                 1.1387,              0.0012874,              0.0012874,              0.0012874
